code,metrics,index_score
PRT,Count of patent references scaled,0.038620532
RUS,Count of patent references scaled,0.017164681
SGP,Count of patent references scaled,0.090114574
ZAF,Count of patent references scaled,0.0
ESP,Count of patent references scaled,0.042911702
SWE,Count of patent references scaled,0.11872237599999999
CHE,Count of patent references scaled,0.38620531799999996
ARE,Count of patent references scaled,0.49920613399999997
GBR,Count of patent references scaled,0.8496517
USA,Count of patent references scaled,18.37908198
AUS,Percentile Rank scaled,59.3220353
AUT,Percentile Rank scaled,89.8305059
BEL,Percentile Rank scaled,91.5254235
BRA,Percentile Rank scaled,35.5932206
CAN,Percentile Rank scaled,55.9322059
CHN,Percentile Rank scaled,83.05084709999998
DNK,Percentile Rank scaled,76.27118829999999
FIN,Percentile Rank scaled,100.0
FRA,Percentile Rank scaled,64.4067824
DEU,Percentile Rank scaled,94.91525290000001
IND,Percentile Rank scaled,40.677964700000004
IRL,Percentile Rank scaled,44.0677971
ISR,Percentile Rank scaled,69.4915235
ITA,Percentile Rank scaled,71.1864412
JPN,Percentile Rank scaled,98.3050823
NLD,Percentile Rank scaled,86.4406765
NOR,Percentile Rank scaled,77.9661
PRT,Percentile Rank scaled,49.1525412
RUS,Percentile Rank scaled,54.2372882
SGP,Percentile Rank scaled,93.22034120000001
ZAF,Percentile Rank scaled,33.898305900000004
ESP,Percentile Rank scaled,52.5423706
SWE,Percentile Rank scaled,88.1355941
CHE,Percentile Rank scaled,79.6610177
ARE,Percentile Rank scaled,18.6440677
GBR,Percentile Rank scaled,67.79661180000001
USA,Percentile Rank scaled,81.35592940000001
AUS,Proportion of female AI authors scaled,64.33759857
AUT,Proportion of female AI authors scaled,61.02294986
BEL,Proportion of female AI authors scaled,74.14352608
BRA,Proportion of female AI authors scaled,60.63909981
CAN,Proportion of female AI authors scaled,77.40170669
CHN,Proportion of female AI authors scaled,0.0
DNK,Proportion of female AI authors scaled,94.24902176
FIN,Proportion of female AI authors scaled,42.58955749
FRA,Proportion of female AI authors scaled,75.21605271
DEU,Proportion of female AI authors scaled,59.61336095
IND,Proportion of female AI authors scaled,65.19259259
IRL,Proportion of female AI authors scaled,80.63261137
ISR,Proportion of female AI authors scaled,68.33777218
ITA,Proportion of female AI authors scaled,73.83511292
JPN,Proportion of female AI authors scaled,23.50860399
NLD,Proportion of female AI authors scaled,100.0
NOR,Proportion of female AI authors scaled,0.0
PRT,Proportion of female AI authors scaled,82.81641498
RUS,Proportion of female AI authors scaled,0.0
SGP,Proportion of female AI authors scaled,40.01320338
ZAF,Proportion of female AI authors scaled,0.0
ESP,Proportion of female AI authors scaled,79.88922431
SWE,Proportion of female AI authors scaled,71.49384011
CHE,Proportion of female AI authors scaled,58.90714914
ARE,Proportion of female AI authors scaled,0.0
GBR,Proportion of female AI authors scaled,71.78093144
USA,Proportion of female AI authors scaled,64.72850941
AUS,Proportion of female in AI workplace scaled,56.26590857
AUT,Proportion of female in AI workplace scaled,0.0
BEL,Proportion of female in AI workplace scaled,46.26804387
BRA,Proportion of female in AI workplace scaled,0.0
CAN,Proportion of female in AI workplace scaled,56.51875422
CHN,Proportion of female in AI workplace scaled,0.0
DNK,Proportion of female in AI workplace scaled,47.61359032
FIN,Proportion of female in AI workplace scaled,0.0
FRA,Proportion of female in AI workplace scaled,60.41771311
DEU,Proportion of female in AI workplace scaled,46.46936454
IND,Proportion of female in AI workplace scaled,59.57073924
IRL,Proportion of female in AI workplace scaled,50.67029189
ISR,Proportion of female in AI workplace scaled,55.77711208
ITA,Proportion of female in AI workplace scaled,100.0
JPN,Proportion of female in AI workplace scaled,0.0
NLD,Proportion of female in AI workplace scaled,54.70196449
NOR,Proportion of female in AI workplace scaled,56.30132315
PRT,Proportion of female in AI workplace scaled,48.35362442
RUS,Proportion of female in AI workplace scaled,0.0
SGP,Proportion of female in AI workplace scaled,0.0
ZAF,Proportion of female in AI workplace scaled,0.0
ESP,Proportion of female in AI workplace scaled,52.18237709
SWE,Proportion of female in AI workplace scaled,50.62436915
CHE,Proportion of female in AI workplace scaled,55.25609670000001
ARE,Proportion of female in AI workplace scaled,52.19791814
GBR,Proportion of female in AI workplace scaled,52.03801936
USA,Proportion of female in AI workplace scaled,63.31970117
AUS,Revealed Comparative Advantage - Deep Learning Papers scaled,75.42708928
